detainer_detention_facility,county,city,state,uniqueid
LARIMER COUNTY JAIL,Larimer County,FT COLLINS,CO,d2220
LARKIN HOSPITAL,Miami-Dade County,SOUTH MIAMI,FL,d2221
LARNED CORR. MENT. HEALTH,Pawnee County,LARNED,KS,d2222
LARUE COUNTY,Larue County,HODGENVILLE,KY,d2223
LAS ANIMAS COUNTY JAIL,Las Animas County,TRINIDAD,CO,d2224
LAS COLINAS DET/REENTRY FACILITY,San Diego County,SANTEE,CA,d2225
LAS COLINAS WOMEN DET FAC,San Diego County,SANTEE,CA,d2226
LAS VEGAS CITY JAIL,Clark County,LAS VEGAS,NV,d2227
LAS VEGAS HOLD ROOM,Clark County,LAS VEGAS,NV,d2228
LAS VEGAS METRO POLICE DEPT.,Clark County,LAS VEGAS,NV,d2229
LASALLE COUNTY JAIL,La Salle County,COTULLA,TX,d2230
LASALLE COUNTY JAIL,La Salle County,OTTAWA,IL,d2231
LASALLE PARISH CORRECT.CTR,La Salle Parish,URANIA,LA,d2232
LATAH COUNTY JAIL,Latah County,MOSCOW,ID,d2233
LATIMER COUNTY SHERIFF/JAIL,Latimer County,WILBURTON,OK,d2234
LAUDERDALE COUNTY DET. CENTER,Lauderdale County,FLORENCE,AL,d2235
LAUDERDALE COUNTY JAIL,Lauderdale County,MERIDIAN,MS,d2236
LAUDERDALE COUNTY JAIL,Lauderdale County,RIPLEY,TN,d2237
LAUREL COUNTY SHERIFF'S JAIL,Laurel County,LONDON,KY,d2238
LAUREL RIDGE TREATMENT CTR,Bexar County,SAN ANTONIO,TX,d2239
LAURENS COUNTY SHERIFF,Laurens County,DUBLIN,GA,d2240
LAURENS COUNTY-R E JOHNSON DET CEN,Laurens County,LAURENS,SC,d2241
LAVACA COUNTY JAIL,Lavaca County,HALLETTSVILLE,TX,d2242
LAW ENF CTR PECOS,Reeves County,PECOS,TX,d2243
LAWRANCE COUNTY JAIL,Lawrence County,IRONTON,OH,d2244
"LAWRENCE CO. JAIL, SD",Lawrence County,DEADWOOD,SD,d2245
LAWRENCE CORRECTION CENTER,Lawrence County,SUMNER,IL,d2246
LAWRENCE COUNTY JAIL,Lawrence County,BEDFORD,IN,d2247
LAWRENCE COUNTY JAIL,Lawrence County,LAWRENCEBURG,TN,d2248
LAWRENCE COUNTY JAIL,Lawrence County,MONTICELLO,MS,d2249
LAWRENCE COUNTY JAIL,Lawrence County,MOULTON,AL,d2250
LAWRENCE COUNTY JAIL,Lawrence County,NEW CASTLE,PA,d2251
LAWRENCE COUNTY JAIL,Lawrence County,WALNUT RIDGE,AR,d2252
LAWRENCE COUNTY SHERIFF,Lawrence County,MT. VERNON,MO,d2253
LAWRENCE POLICE DEPT,Essex County,LAWRENCE,MA,d2254
LAWTON COMMUNITY CORR CTR,Comanche County,LAWTON,OK,d2255
LAWTON CORRECTIONAL FAC.,Comanche County,LAWTON,OK,d2256
LAWTON POLICE DEPT.,Comanche County,LAWTON,OK,d2257
"LE SUEUR CO. JAIL, MN",Le Sueur County,LE CENTER,MN,d2258
LEA COUNTY CORR. FAC.,Lea County,HOBBS,NM,d2259
LEA COUNTY JAIL,Lea County,LOVINGTON,NM,d2260
LEA COUNTY JUVENILE D.F.,Lea County,LOVINGTON,NM,d2261
LEAGUE CITY POLICE DEPT.,Galveston County,LEAGUE CITY,TX,d2262
LEAKE COUNTY COR. FACILITY,Leake County,CARTHAGE,MS,d2263
LEAVENWORTH COUNTY JAIL,Leavenworth County,LEAVENWORTH,KS,d2264
LEAVENWORTH USP,Leavenworth County,LEAVENWORTH,KS,d2265
"LEBANON CNTY JAIL, PA",Lebanon County,LEBANON,PA,d2266
LEBANON CORRECTIONAL,Warren County,LEBANON,OH,d2267
LEE COUNTY JAIL,Lee County,DIXON,IL,d2268
LEE COUNTY JAIL,Lee County,FORT MYERS,FL,d2269
LEE COUNTY JAIL,Lee County,GIDDINGS,TX,d2270
LEE COUNTY JAIL,Lee County,GIDDINgs,TX,d2271
LEE COUNTY JAIL,Lee County,MARIANNE,AR,d2272
LEE COUNTY JAIL,Lee County,OPELIKA,AL,d2273
LEE COUNTY JAIL,Lee County,SANFORD,NC,d2274
LEE COUNTY SHERIFF,Lee County,LEESBURG,GA,d2275
LEE COUNTY SHERIFF/JAIL,Lee County,MONTROSE,IA,d2276
LEE'S SUMMIT POLICE DEPT,Jackson County,LEE'S SUMMIT,MO,d2277
LEE'S SUMMIT POLICE DEPT.,Jackson County,LEE'S SUMMIT,MO,d2278
"LEELANAU CO,LELAND,MI",Leelanau County,SUTTONS BAY,MI,d2279
LEFLORE COUNTY JAIL,Leflore County,GREENWOOD,MS,d2280
LEFLORE COUNTY SHERIFF/JAIL,Le Flore County,POTEAU,OK,d2281
"LEHIGH COUNTY JAIL, PA",Lehigh County,ALLENTOWN,PA,d2282
LEMHI COUNTY JAIL,Lemhi County,SALMON,ID,d2283
"LEMON CREEK, JUNEAU,AK",Juneau Borough,JUNEAU,AK,d2284
LEMUEL SHATTUCK HOSPITAL,Suffolk County,JAMAICA PLAIN,MA,d2285
"LENAWEE CO,ADRIAN, MI",Lenawee County,ADRIAN,MI,d2286
LENOIR COUNTY JAIL,Lenoir County,KINSTON,NC,d2287
LEOMINSTER POLICE DEPT,Worcester County,LEOMINSTER,MA,d2288
LEON COUNTY JAIL,Leon County,TALLAHASSEE,FL,d2289
LEON COUNTY SHERIFF,Leon County,CENTERVILLE,TX,d2290
LEVY COUNTY JAIL,Levy County,BRONSON,FL,d2291
LEWIS & CLARK COUNTY JAIL,Lewis and Clark County,HELENA,MT,d2292
LEWIS COUNTY JAIL,Lewis County,CHEHALIS,WA,d2293
LEWIS COUNTY JAIL,Lewis County,LOWVILLE,NY,d2294
LEWIS COUNTY JUVENILE CENTER,Lewis County,CHEHALIS,WA,d2295
LEWIS COUNTY SHERIFF,Lewis County,HOHENWALD,TN,d2296
LEWISBURG U.S. PEN.,Union County,LEWISBURG,PA,d2297
LEWISVILLE POLICE DEPT.,Denton County,LEWISVILLE,TX,d2298
LEXINGTON,Lee County,LEXINGTON,TX,d2299
LEXINGTON A&R,Cleveland County,LEXINGTON,OK,d2300
LEXINGTON COUNTY JAIL,Lexington County,LEXINGTON,SC,d2301
LEXINTON FED.MED CENTER,Fayette County,LEXINGTON,KY,d2302
LIBERTY CORRECTIONAL INSTITUTION,Liberty County,BRISTOL,FL,d2303
LIBERTY COUNTY JAIL,Liberty County,BRISTOL,FL,d2304
LIBERTY COUNTY JAIL,Liberty County,HINESVILLE,GA,d2305
LIBERTY COUNTY JAIL,Liberty County,LIBERTY,TX,d2306
LIBERTY CTY JUV DET CENTE,Liberty County,LIBERTY,TX,d2307
LIBERTY POLICE DEPT.,Liberty County,LIBERTY,TX,d2308
LICKING COUNTY JAIL,Licking County,NEWARK,OH,d2309
LIMESTONE CORRECTIONAL FACILITY,Madison County,HARVEST,AL,d2310
LIMESTONE COUNTY JAIL,Limestone County,ATHENS,AL,d2311
LIMESTONE DET CENTER,Limestone County,GROESBECK,TX,d2312
LINCOLN CORRECTIONAL FACI,Kings County,NEW YORK,NY,d2313
LINCOLN CORRECTIONS CTR,Logan County,LINCOLN,IL,d2314
LINCOLN COUNTY DET CTR,Lincoln County,CARRIZOZO,NM,d2315
LINCOLN COUNTY DET. CENTER,Lincoln County,PIOCHE,NV,d2316
LINCOLN COUNTY JAIL,Lincoln County,BROOKHAVEN,MS,d2317
LINCOLN COUNTY JAIL,Lincoln County,DAVENPORT,WA,d2318
LINCOLN COUNTY JAIL,Lincoln County,FAYETTEVILLE,TN,d2319
LINCOLN COUNTY JAIL,Lincoln County,HUGO,CO,d2320
LINCOLN COUNTY JAIL,Lincoln County,KEMMERER,WY,d2321
LINCOLN COUNTY JAIL,Lincoln County,LIBBY,MT,d2322
LINCOLN COUNTY JAIL,Lincoln County,LINCOLNTON,GA,d2323
LINCOLN COUNTY JAIL,Lincoln County,LINCOLNTON,NC,d2324
LINCOLN COUNTY JAIL,Lincoln County,NEWPORT,OR,d2325
LINCOLN COUNTY JAIL,Lincoln County,NORTH PLATTE,NE,d2326
LINCOLN COUNTY JAIL,Lincoln County,STAR CITY,AR,d2327
LINCOLN COUNTY JAIL,Lincoln County,WISCASSETT,ME,d2328
LINCOLN COUNTY REGIONAL JAIL,Lincoln County,STANFORD,KY,d2329
LINCOLN COUNTY SHERIFF,Lincoln County,MERRILL,WI,d2330
LINCOLN COUNTY SHERIFF'S,Lincoln County,TROY,MO,d2331
LINCOLN PARISH COR. CENTER,Lincoln Parish,RUSTON,LA,d2332
LINCOLNSHIRE POLICE DEPT.,Lake County,LINCOLNSHIRE,IL,d2333
LINDA WOODMANSJF,Coryell County,GATESVILLE,TX,d2334
LINN CO JAIL,Linn County,ALBANY,OR,d2335
LINN COUNTY JAIL,Linn County,CEDAR RAPIDS,IA,d2336
LIPSCOMB COUNTY JAIL,Lipscomb County,LIPSCOMB,TX,d2337
LISBON COUNTY JAIL,Columbiana County,LISBON,OH,d2338
LITTLE ROCK HOLD ROOM,Pulaski County,LITTLE ROCK,AR,d2339
LIVE OAK COUNTY SHERIFF,Live Oak County,GEORGE WEST,TX,d2340
LIVINGSTON CORRECTIONAL,Livingston County,SONYEA,NY,d2341
LIVINGSTON COUNTY JAIL,Livingston County,GENESEO,NY,d2342
LIVINGSTON COUNTY SHERIFF/JAIL,Livingston County,PONTIAC,IL,d2343
LIVINGSTON POLICE DEPT.,Polk County,LIVINGSTON,TX,d2344
LLANO COUNTY JAIL,Llano County,LLANO,TX,d2345
LODI POLICE DEPT.,San Joaquin County,LODI,CA,d2346
LOGAN CORRECTIONAL CENTER,Logan County,LINCOLN,IL,d2347
LOGAN COUNTY DETENTION CENTER,Logan County,RUSSELLVILLE,KY,d2348
LOGAN COUNTY JAIL,Logan County,Bellefontaine,OH,d2349
LOGAN COUNTY JAIL,Logan County,PARIS,AR,d2350
LOGAN COUNTY JAIL,Logan County,STERLING,CO,d2351
LOGAN COUNTY SHERIFF/JAIL,Logan County,GUTHRIE,OK,d2352
LOMBARD POLICE DEPT.,DuPage County,LOMBARD,IL,d2353
LOMPOC FCI,Santa Barbara County,LOMPOC,CA,d2354
LOMPOC POLICE DEPT.,Santa Barbara County,LOMPOC,CA,d2355
LOMPOC USP,Santa Barbara County,LOMPOC,CA,d2356
LONDON CORRECTIONAL,Madison County,LONDON,OH,d2357
LONG BEACH CITY JAIL,Los Angeles County,LONG BEACH,CA,d2358
LONG COUNTY JAIL,Long County,LUDOWICI,GA,d2359
LONGVIEW POLICE DEPT.,Gregg County,LONGVIEW,TX,d2360
LONOKE COUNTY DET. CENTER,Lonoke County,LONOKE,AR,d2361
LONOKE POLICE DEPT DET.CTR,Lonoke County,LONOKE,AR,d2362
LOOKOUT MOUNTAIN YTH. SVC. CENTER,Jefferson County,GOLDEN,CO,d2363
LORAIN CORRECTIONAL,Lorain County,GRAFTON,OH,d2364
LORAIN COUNTY JAIL,Lorain County,ELYRIA,OH,d2365
LORETTO FED.CORR.INST.,Cambria County,LORETTO,PA,d2366
LOS ALAMITOS POLICE DEPT.,Orange County,LOS ALAMITOS,CA,d2367
LOS ALAMOS COUNTY DET. CENTER,Los Alamos County,LOS ALAMOS,NM,d2368
LOS ANGELES CITY JAIL,Los Angeles County,LOS ANGELES,CA,d2369
LOS ANGELES COUNTY JAIL-TWIN TOWER,Los Angeles County,LOS ANGELES,CA,d2370
LOS ANGELES MET.DET.CTR.,Los Angeles County,LOS ANGELES,CA,d2371
LOS ANGELES POLICE PD 77TH DIV.,Los Angeles County,LOS ANGELES,CA,d2372
LOS CUST CASE,Los Angeles County,LOS ANGELES,CA,d2373
LOS FRESNOS HOLD ROOM,Cameron County,LOS FRESNOS,TX,d2374
LOS FRESNOS POLICE DEPT.,Cameron County,LOS FRESNOS,TX,d2375
LOS PADRINOS JUVENILE HALL,Los Angeles County,DOWNEY,CA,d2376
LOUDON COUNTY JAIL,Loudon County,LOUDON,TN,d2377
LOUDOUN COUNTY,Loudoun County,LEESBURG,VA,d2378
LOUISA COUNTY JAIL,Louisa County,WAPELLO,IA,d2379
LOUISVILLE HOLD ROOM,Jefferson County,LOUISVILLE,KY,d2380
LOVE COUNTY SHERIFF/JAIL,Love County,MARIETTA,OK,d2381
LOVELOCK CORRECTIONAL CTR,Pershing County,LOVELOCK,NV,d2382
LOWNDES COUNTY JAIL,Lowndes County,COLUMBUS,MS,d2383
LOWNDES COUNTY JAIL,Lowndes County,HAYNEVILLE,AL,d2384
LOWNDES COUNTY SHERIFF,Lowndes County,VALDOSTA,GA,d2385
LUBBOCK COUNTY JAIL,Lubbock County,LUBBOCK,TX,d2386
LUCAS COUNTY JAIL,Lucas County,TOLEDO,OH,d2387
LUCILLE PLANE STATE JAIL,Liberty County,DAYTON,TX,d2388
LUFKIN POLICE DEPT.,Angelina County,LUFKIN,TX,d2389
LUMBERTON POLICE DEPT.,Hardin County,LUMBERTON,TX,d2390
LUMPKIN COUNTY DET. CENTER,Lumpkin County,DAHLONEGA,GA,d2391
LUNA COUNTY JAIL,Luna County,DEMING,NM,d2392
LUTHER LUCKET COR COMPLEX,Oldham County,LAGRANGE,KY,d2393
LUTHERAN SOCIAL SEREVICES,El Paso County,EL PASO,TX,d2394
LUZERNE COUNTY JAIL,Luzerne County,WILKESBARRE,PA,d2395
LYCOMING COUNTY JAIL,Lycoming County,WILLIAMSPORT,PA,d2396
LYNDHURST POLICE DEPT.,Cuyahoga County,LYNDHURST,OH,d2397
LYNN COUNTY SHERIFF,Lynn County,TAHOKA,TX,d2398
LYNNWOOD CITY JAIL,Snohomish County,LYNNWOOD,WA,d2399
LYNWOOD POLICE DEPT.,Cook County,LYNWOOD,IL,d2400
LYON COUNTY JAIL,Lyon County,EMPORIA,KS,d2401
LYON COUNTY JAIL,Lyon County,MARSHALL,MN,d2402
LYON COUNTY JAIL,Lyon County,ROCK RAPIDS,IA,d2403
LYON COUNTY JAIL,Lyon County,YERINGTON,NV,d2404
M.H.LUTTRELL RECEPTION CTR,Shelby County,MEMPHIS,TN,d2405
"MABEL BASSETT CC, OKC, OK",Oklahoma County,OKLAHOMA CITY,OK,d2406
MACK ALFORD CORRECT CENTE,Atoka County,STRINGTOWN,OK,d2407
MACKINAC COUNTY JAIL,Mackinac County,ST IGNACE,MI,d2408
MACLAREN SCHOOL YOUTH FAC.,Marion County,WOODBURN,OR,d2409
"MACOMB CO YOUTH,MT CLEMEN",Macomb County,MT. CLEMENS,MI,d2410
"MACOMB CO.MT.CLEMENS,MI.",Macomb County,MT. CLEMENS,MI,d2411
MACOMB CORRECTIONAL FACILITY,Macomb County,NEW HAVEN,MI,d2412
"MACOMB REGION,NEW HAVEN,M",Macomb County,NEW HAVEN,MI,d2413
MACON COUNTY JAIL,Macon County,DECATUR,IL,d2414
MACON COUNTY JAIL,Macon County,FRANKLIN,NC,d2415
MACON COUNTY JAIL,Macon County,TUSKEGEE,AL,d2416
MACON COUNTY JUVENILE FAC.,Macon County,DECATUR,IL,d2417
MACON COUNTY SHERIFF,Macon County,LAFAYETTE,TN,d2418
MACON COUNTY SHERIFF,Macon County,OGLETHORPE,GA,d2419
MADERA CO DEPT OF CORRECT,Madera County,MADERA,CA,d2420
"MADISON CO. JAIL, MS.",Madison County,CANTON,MS,d2421
MADISON CORRECTIONAL,Madison County,LONDON,OH,d2422
MADISON CORRECTIONAL INSTITUTION,Madison County,MADISON,FL,d2423
MADISON COUNTY DET. HOME,Madison County,EDWARDSVILLE,IL,d2424
MADISON COUNTY JAIL,Madison County,ANDERSON,IN,d2425
MADISON COUNTY JAIL,Madison County,DANIELSVILLE,GA,d2426
MADISON COUNTY JAIL,Madison County,HUNTSVILLE,AL,d2427
MADISON COUNTY JAIL,Madison County,HUNTSVILLE,AR,d2428
MADISON COUNTY JAIL,Madison County,JACKSON,TN,d2429
MADISON COUNTY JAIL,Madison County,MADISON,FL,d2430
MADISON COUNTY JAIL,Madison County,MADISON,NE,d2431
MADISON COUNTY JAIL,Madison County,MARSHALL,NC,d2432
MADISON COUNTY JAIL,Madison County,REXBURG,ID,d2433
MADISON COUNTY JAIL,Madison County,WAMPSVILLE,NY,d2434
MADISON COUNTY JAIL,Madison County,WINTERSET,IA,d2435
MADISON COUNTY SHERIFF,Madison County,EDWARDSVILLE,IL,d2436
MADISON COUNTY SHERIFF,Madison County,MADISONVILLE,TX,d2437
MADISON COUNTY SHERIFF/JAIL,Madison County,FREDERICKTOWN,MO,d2438
MADISON PARISH DET CENTER,Madison Parish,TALLULAH,LA,d2439
MADISONVILLE POLICE DEPT.,Madison County,MADISONVILLE,TX,d2440
MAHASKA COUNTY JAIL,Mahaska County,OSKALOOSA,IA,d2441
MAHNOMEN COUNTY JAIL,Mahnomen County,MAHNOMEN,MN,d2442
MAHONING COUNTY JAIL,Mahoning County,YOUNGSTOWN,OH,d2443
MAINE CORRECTIONAL CENTER,Cumberland County,WINDHAM,ME,d2444
MAINE DEPT OF CORRECTIONS,Kennebec County,AUGUSTA,ME,d2445
MAINE STATE PRISON,Knox County,THOMASTON,ME,d2446
MALHEUR COUNTY JAIL,Malheur County,VALE,OR,d2447
MANATEE COUNTY DETENTION-ANNEX,Manatee County,PALMETTO,FL,d2448
MANCHESTER FED CORR INSTR,Clay County,MANCHESTER,KY,d2449
MANCHESTER HOLDROOM,Hillsborough County,MANSHESTER,NH,d2450
MANCHESTER POLICE DEPT.,Hartford County,MANCHESTER,CT,d2451
MANCHESTER POLICE DEPT.,St. Louis County,MANCHESTER,MO,d2452
MANHATAN BEACH POLICE DEPT.,Los Angeles County,MANHATTAN BEACH,CA,d2453
MANHATTAN CENTRAL BOOKING,New York County,MANHATTAN,NY,d2454
"MANHATTEN DET COMPLEX, NY",Kings County,NEW YORK,NY,d2455
"MANISTEE CO,MANISTEE,MI",Manistee County,MANISTEE,MI,d2456
MANITOWOC COUNTY JAIL,Manitowoc County,MANITOWOC,WI,d2457
MANSFIELD CORRECTIONAL,Richland County,MANSFIELD,OH,d2458
MANSFIELD L.E. CENTER,Tarrant County,MANSFIELD,TX,d2459
MANSON YOUTH INST,New Haven County,CHESHIRE,CT,d2460
MAPLE HEIGHTS CITY JAIL,Cuyahoga County,MAPLE HEIGHTS,OH,d2461
MAPLE LANE SCHOOL,Lewis County,CENTRALIA,WA,d2462
MAPLEWOOD POLICE DEPT.,St. Louis County,MAPLEWOOD,MO,d2463
MARATHON COUNTY SHERIFF,Marathon County,WAUSAU,WI,d2464
MARCY CORRECTIONAL,Oneida County,MARCY,NY,d2465
MARENGO COUNTY JAIL,Marengo County,LINDEN,AL,d2466
MARIANNA FED.CORR.INST.,Jackson County,MARIANNA,FL,d2467
MARICOPA CO LOWER BUCKEYE JAIL,Maricopa County,PHOENIX,AZ,d2468
MARICOPA COUNTY JAIL,Maricopa County,PHOENIX,AZ,d2469
MARICOPA MEDICAL CENTER,Maricopa County,PHOENIX,AZ,d2470
MARIN CO. JAIL,Marin County,SAN RAFAEL,CA,d2471
MARIN JUVENILE HALL,Marin County,SAN RAFAEL,CA,d2472
MARINETTE COUNTY SHERIFF,Marinette County,MARINETTE,WI,d2473
MARION CO JAIL,Marion County,SALEM,OR,d2474
MARION CO JAIL & L.E. CTR,Marion County,PALMYRA,MO,d2475
MARION CORRECTIONAL,Marion County,MARION,OH,d2476
MARION CORRECTIONAL INST.,Marion County,LOWELL,FL,d2477
MARION CORRECTIONAL INST.,Marion County,OCALA,FL,d2478
MARION COUNTY DETENTION CENTER,Marion County,LEBANON,KY,d2479
MARION COUNTY JAIL,Marion County,HAMILTON,AL,d2480
MARION COUNTY JAIL,Marion County,INDIANAPOLIS,IN,d2481
MARION COUNTY JAIL,Marion County,JEFFERSON,TX,d2482
MARION COUNTY JAIL,Marion County,KNOXVILLE,IA,d2483
MARION COUNTY JAIL,Marion County,MARION,OH,d2484
MARION COUNTY JAIL,Marion County,MARION,SC,d2485
MARION COUNTY JAIL,Marion County,OCALA,FL,d2486
MARION COUNTY JAIL,Marion County,YELLVILLE,AR,d2487
MARION COUNTY JUVENILE,Marion County,SALEM,OR,d2488
MARION COUNTY SHERIFF,Marion County,BUENA VISTA,GA,d2489
MARION COUNTY SHERIFF,Marion County,SALEM,IL,d2490
MARION COUNTY SHERIFF/JAIL,Marion County,JASPER,TN,d2491
MARION COUNTY SHERIFF/JAIL,Marion County,MARION,KS,d2492
MARION USP,Williamson County,MARION,IL,d2493
MARION-WALTHALL COUNTY REG COR FAC,Marion County,COLUMBIA,MS,d2494
MARIPOSA COUNTY SHERIFF'S DEPT,Mariposa County,MARIPOSA,CA,d2495
MARLBORO COUNTY DET CENTER,Marlboro County,BENNETTSVILLE,SC,d2496
MARQUETTE BRANCH PRISON,Marquette County,MARQUETTE,MI,d2497
"MARQUETTE CO,MARQUETTE MI",Marquette County,MARQUETTE,MI,d2498
MARSHAL COUNTY JAIL,Marshall County,WARREN,MN,d2499
MARSHALL COUNTY JAIL,Marshall County,BRITTON,SD,d2500
MARSHALL COUNTY JAIL,Marshall County,GUNTERSVILLE,AL,d2501
MARSHALL COUNTY JAIL,Marshall County,LACON,IL,d2502
MARSHALL COUNTY JAIL,Marshall County,LEWISBURG,TN,d2503
MARSHALL COUNTY JAIL,Marshall County,MADILL,OK,d2504
MARSHALL COUNTY JAIL,Marshall County,MARSHALLTOWN,IA,d2505
MARTIN CORRECTIONAL INSTITUTION,Martin County,INDIANTOWN,FL,d2506
MARTIN COUNTY JAIL,Martin County,FAIRMONT,MN,d2507
MARTIN COUNTY JAIL,Martin County,SHOALS,IN,d2508
MARTIN COUNTY JAIL,Martin County,STANTON,TX,d2509
MARTIN COUNTY JAIL,Martin County,STUART,FL,d2510
MARTIN COUNTY JAIL,Martin County,WILLIAMSTOWN,NC,d2511
MARTIN HALL JUVENILE,Spokane County,MEDICAL LAKE,WA,d2512
MARTINSVILLE COUNTY JAIL,Martinsville City,MARTINSVILLE,VA,d2513
MARVIN W. FOOTE JUVENILE,Arapahoe County,ENGLEWOOD,CO,d2514
MARYLAND HEIGHTS POLICE DEPT.,St. Louis County,MARYLAND HEIGHTS,MO,d2515
MARYLAND TRANSITION CENTER,Baltimore City,BALTIMORE,MD,d2516
MARYSVILLE CITY JAIL,Snohomish County,MARYSVILLE,WA,d2517
MASON COUNTY DET CTR,Mason County,MAYSVILLE,KY,d2518
MASON COUNTY JAIL,Mason County,LUDINGTON,MI,d2519
MASON COUNTY JAIL,Mason County,MASON,TX,d2520
MASON COUNTY JAIL,Mason County,SHELTON,WA,d2521
MASON COUNTY JUVENILE DET.,Mason County,SHELTON,WA,d2522
MASSACHUSETTS STATE POLICE,Nantucket County,NANTUCKET,MA,d2523
MATAGORDA COUNTY SHERIFF,Matagorda County,BAY CITY,TX,d2524
"MATSU PRETRIAL, PALMER AK",Matanuska-Susitna Borough,PALMER,AK,d2525
MAUI CO PD - LAHAINA,Maui County,LAHAINA,HI,d2526
MAUI CO PD - WAILUKU,Maui County,WAILUKU,HI,d2527
MAUI COMMUNITY CORR CTR,Maui County,WAILUKU,HI,d2528
MAURY COUNTY SHERIFF,Maury County,COLUMBIA,TN,d2529
MAVERICK COUNTY JAIL,Maverick County,EAGLE PASS,TX,d2530
MAXWELL AFB FED PRIS CAMP,Montgomery County,MONTGOMERY,AL,d2531
MAYES COUNTY JAIL,Mayes County,PRYOR,OK,d2532
MAYO CORRECTIONAL,Lafayette County,MAYO,FL,d2533
MAYWOOD POLICE DEPT.,Los Angeles County,MAYWOOD,CA,d2534
MC NAIRY SHERIFF'S DEPT.,McNairy County,SELMER,TN,d2535
MCCLENNAN COUNTY DETENTION CENTER,McLennan County,WACO,TX,d2536
MCCORMICK COUNTY DET CENTER,McCormick County,MCCORMICK,SC,d2537
MCCRACKEN COUNTY JAIL,McCracken County,PADUACAH,KY,d2538
MCCREARY USP,McCreary County,PINE KNOT,KY,d2539
MCCULLOUGH COUNTY JAIL,McCulloch County,BRADY,TX,d2540
MCCURTAIN COUNTY SHERIFF/JAIL,McCurtain County,IDABEL,OK,d2541
MCDONALD COUNTY SERIFF,McDonald County,PINEVILLE,MO,d2542
MCDONOUGH COUNTY JAIL,McDonough County,MACOMB,IL,d2543
MCDOUGALL CORR INST,Hartford County,SUFFIELD,CT,d2544
MCDOWELL COUNTY CORRECTIONS,McDowell County,WELCH,WV,d2545
MCDOWELL COUNTY JAIL,McDowell County,MARION,NC,d2546
MCDUFFIE COUNTY SHERIFF,McDuffie County,THOMSON,GA,d2547
MCF RED WING JUVENILE,Goodhue County,RED WING,MN,d2548
MCFARLAND CCF,Kern County,MCFARLAND,CA,d2549
MCHENRY COUNTY SHERIFF'S,McHenry County,WOODSTOCK,IL,d2550
MCHENRY POLICE DEPT.,McHenry County,MCHENRY,IL,d2551
MCI CEDAR JUNCTION,Norfolk County,SOUTH WALPOLE,MA,d2552
MCI CONCORD,Middlesex County,CONCORD,MA,d2553
MCI HAGERSTOWN,Washington County,HAGERSTOWN,MD,d2554
MCI NORFOLK,Norfolk County,NORFOLK,MA,d2555
MCI SHIRLEY,Middlesex County,SHIRLEY,MA,d2556
"MCI, FRAMINGHAM",Middlesex County,FRAMINGHAM,MA,d2557
MCINTOSH COUNTY JAIL,McIntosh County,DARIEN,GA,d2558
MCKEAN COUNTY JAIL,McKean County,SMETHPORT,PA,d2559
MCKEAN FED.CORR.INST.,McKean County,BRADFORD,PA,d2560
MCKENZIE COUNTY SHERIFF/JAIL,McKenzie County,WATFORD CITY,ND,d2561
MCKINLEY COUNTY ADULT DET. CEN.,McKinley County,GALLUP,NM,d2562
MCLEAN COUNTY JAIL,McLean County,BLOOMINGTON,IL,d2563
MCLENNAN COUNTY JAIL,McLennan County,WACO,TX,d2564
"MCLEOD CC, FARRIS, OK",Atoka County,ATOKA,OK,d2565
"MCLEOD COUNTY JAIL, MN",McLeod County,GLENCOE,MN,d2566
MCMINN COUNTY JAIL,McMinn County,ATHENS,TN,d2567
MCMULLEN COUNTY JAIL,McMullen County,TILDEN,TX,d2568
MCNAIRY COUNTY JAIL,McNairy County,SELMER,TN,d2569
MCNEIL ISLAND CORRECTIONS,Pierce County,STEILACOOM,WA,d2570
"MCRAE CORRECTIONAL FACILITY, CCA",Telfair County,MCRAE,GA,d2571
MCSO ESTRELLA,Maricopa County,PHOENIX,AZ,d2572
MCSO MADISON FACILITY,Maricopa County,PHOENIX,AZ,d2573
MCSO SPECIAL USE FACILITY,Maricopa County,PHOENIX,AZ,d2574
MD RECEPTION DIAGN. CENT.,Baltimore City,BALTIMORE,MD,d2575
"MEADE CO. JAIL, SD",Meade County,STURGIS,SD,d2576
MEADE COUNTY JAIL,Meade County,MEADE,KS,d2577
MECKLENBURG (NC) CO JAIL,Mecklenburg County,CHARLOTTE,NC,d2578
MECKLENBURG COUNTY JAIL CENTRAL,Mecklenburg County,CHARLOTTE,NC,d2579
MECKLENBURG COUNTY SHERIFF,Mecklenburg County,BOYDTON,VA,d2580
MECOSTA COUNTY JAIL,Mecosta County,BIG RAPIDS,MI,d2581
MEDFORD SUB-OFFICE,Jackson County,MEDFORD,OR,d2582
MEDINA COUNTY JAIL,Medina County,HONDO,TX,d2583
MEDINA COUNTY JAIL,Medina County,MEDINA,OH,d2584
MEEKER COUNTY JAIL,Meeker County,LITCHFIELD,MN,d2585
MEHERRIN RIVER REGIONAL JAIL,Brunswick County,ALBERTA,VA,d2586
MEIGS COUNTY JAIL,Meigs County,POMEROY,OH,d2587
MELROSE PARK POLICE DEPT.,Cook County,MELROSE PARK,IL,d2588
MEMORIAL VILLAGE POLICE DEPT.,Harris County,HOUSTON,TX,d2589
MEMPHIS FED.CORR.INST.,Shelby County,MEMPHIS,TN,d2590
MEMPHIS HOLD ROOM,Shelby County,MEMPHIS,TN,d2591
