detainer_detention_facility,county,city,state,uniqueid
"WASHINGTON CO. JAIL, PA",Washington County,WASHINGTON,PA,d4321
WASHINGTON CO. JUVENILE C,Washington County,STILLWATER,MN,d4322
WASHINGTON CORR INSTITUTE,Washington Parish,ANGIE,LA,d4323
WASHINGTON CORRECTIONAL,Washington County,COMSTOCK,NY,d4324
WASHINGTON CORRECTIONS CENTER,Mason County,SHELTON,WA,d4325
WASHINGTON COUNTY DET. CTR,Washington County,JONESBOROUGH,TN,d4326
WASHINGTON COUNTY JAIL,Washington County,AKRON,CO,d4327
WASHINGTON COUNTY JAIL,Washington County,BARTLESVILLE,OK,d4328
WASHINGTON COUNTY JAIL,Washington County,CHATOM,AL,d4329
WASHINGTON COUNTY JAIL,Washington County,CHIPLEY,FL,d4330
WASHINGTON COUNTY JAIL,Washington County,FAYETTEVILLE,AR,d4331
WASHINGTON COUNTY JAIL,Washington County,Fort Edward,NY,d4332
WASHINGTON COUNTY JAIL,Washington County,GREENVILLE,MS,d4333
WASHINGTON COUNTY JAIL,Washington County,HILLSBORO,OR,d4334
WASHINGTON COUNTY JAIL,Washington County,HURRICANE,UT,d4335
WASHINGTON COUNTY JAIL,Washington County,MACHIAS,ME,d4336
WASHINGTON COUNTY JAIL,Washington County,MARIETTA,OH,d4337
WASHINGTON COUNTY JAIL,Washington County,PLYMOUTH,NC,d4338
WASHINGTON COUNTY JAIL,Washington County,STILLWATER,MN,d4339
WASHINGTON COUNTY JAIL,Washington County,WASHINGTON,IA,d4340
WASHINGTON COUNTY JAIL,Washington County,WEISER,ID,d4341
WASHINGTON COUNTY SHERIFF,Washington County,BRENHAM,TX,d4342
WASHINGTON COUNTY SHERIFF,Washington County,NASHVILLE,IL,d4343
WASHINGTON COUNTY SHERIFF,Washington County,SANDERSVILLE,GA,d4344
WASHINGTON FIELD OFFICE,Fairfax City,FAIRFAX,VA,d4345
WASHINGTON PARISH JAIL,Washington Parish,FRANKLINTON,LA,d4346
WASHINGTON STATE CORRECTIONS,Pierce County,GIG HARBOR,WA,d4347
WASHOE COUNTY JAIL,Washoe County,RENO,NV,d4348
"WASHTENAW CO, AN ARBOR,MI",Washtenaw County,ANN ARBOR,MI,d4349
WATAUGA COUNTY JAIL,Watauga County,BOONE,NC,d4350
WATERTOWN C.F. WATERTOWN,Jefferson County,WATERTOWN,NY,d4351
WATONWAN COUNTY JAIL,Watonwan County,ST. JAMES,MN,d4352
WAUKEGAN CITY JAIL,Lake County,WAUKEGAN,IL,d4353
WAUKESHA COUNTY JAIL,Waukesha County,WAUKESHA,WI,d4354
WAUPACA COUNTY SHERIFF,Waupaca County,WAUPACA,WI,d4355
"WAUPUN C.I., WAUPUN",Dodge County,WAUPUN,WI,d4356
WAYNE COUNTY JAIL,Wayne County,GOLDSBORO,NC,d4357
WAYNE COUNTY JAIL,Wayne County,JESUP,GA,d4358
WAYNE COUNTY JAIL,Wayne County,LYONS,NY,d4359
WAYNE COUNTY JAIL,Wayne County,RICHMOND,IN,d4360
WAYNE COUNTY JAIL,Wayne County,WAYNESBORO,MS,d4361
WAYNE COUNTY JAIL,Wayne County,WOOSTER,OH,d4362
WAYNE COUNTY PRISON,Wayne County,HONEDALE,PA,d4363
WAYNE COUNTY SHERIFF,Wayne County,WAYNESBORO,TN,d4364
WAYNE COUNTY YOUTHT.MI,Wayne County,DETROIT,MI,d4365
"WAYNE COUNTY, DETROIT",Wayne County,DETROIT,MI,d4366
WEBB CITY POLICE DEPT.,Jasper County,WEBB CITY,MO,d4367
WEBB COUNTY JAIL,Webb County,LAREDO,TX,d4368
WEBER COUNTY JAIL,Weber County,OGDEN,UT,d4369
WEBSTER CORR INST,New Haven County,CHESHIRE,CT,d4370
WEBSTER COUNTY JAIL,Keokuk County,WEBSTER,IA,d4371
WEBSTER COUNTY JAIL,Webster County,EUPORA,MS,d4372
WEBSTER COUNTY SHERIFF,Webster County,MARSHFIELD,MO,d4373
WEBSTER GROVES POLICE DEPT.,St. Louis County,WEBSTER GROVES,MO,d4374
WEBSTER PARISH JAIL,Webster Parish,SIBLEY,LA,d4375
WELD COUNTY JAIL,Weld County,GREELEY,CO,d4376
WELLS COUNTY JAIL,Wells County,BLUFFTON,IN,d4377
WENDE CORRECTIONAL,Erie County,ALDEN,NY,d4378
WESLACO POLICE DEPT.,Hidalgo County,WESLACO,TX,d4379
WEST BATON ROUGE DET CTR,West Baton Rouge Parish,PORT ALLEN,LA,d4380
WEST CARROLL DETENTION CTR,West Carroll Parish,EPPS,LA,d4381
WEST COLUMBIA POLICE DEPT,Brazoria County,WEST COLUMBIA,TX,d4382
WEST COVINA POLICE DEPT.,Los Angeles County,WEST COVINA,CA,d4383
WEST DUNDEE POLICE DEPT.,Kane County,WEST DUNDEE,IL,d4384
WEST MONROE CORR. DEPT,Ouachita Parish,WEST MONROE,LA,d4385
WEST REC DIAG CORR CENTER,Buchanan County,ST JOSEPH,MO,d4386
WEST REC DIAG CORR CENTER,Buchanan County,ST. JOSEPH,MO,d4387
WEST SHORELINE CORR. FAC.,Muskegon County,MUSKEGON HEIGHTS,MI,d4388
WEST TENNESSEE STATE PENITENTIARY,Lauderdale County,HENNING,TN,d4389
WEST TEXAS DETENTION FACILITY,Hudspeth County,SIERRA BLANCA,TX,d4390
WEST TEXAS YOUTH COMMISSION,Ward County,PYOTE,TX,d4391
WEST UNIVERSITY PLACE POLICE DEPT.,Harris County,WEST UNIVERSITY PLACE,TX,d4392
WEST VALLEY,San Bernardino County,RANCHO CUCAMONGA,CA,d4393
"WESTCHESTER CO.JAIL,VALHA",Westchester County,VALHALLA,NY,d4394
WESTCHESTER POLICE DEPT.,Cook County,WESTCHESTER,IL,d4395
WESTERN IL. CORRECTIONAL,Brown County,WESTERN,IL,d4396
WESTERN KENTUCKY CORR.COM.,Lyon County,EDDYVILLE,KY,d4397
WESTERN MO CORR. FACILITY,Clinton County,CAMERON,MO,d4398
"WESTERN N.M.C.F,GRANTS",Cibola County,GRANTS,NM,d4399
WESTERN REGIONAL JAIL,Cabell County,BARBOURSVILLE,WV,d4400
WESTERN TENNESSEE DET. FAC.,Tipton County,MASON,TN,d4401
WESTERN TIDEWATER REG. JAIL,Suffolk City,SUFFOLK,VA,d4402
WESTERN VIRGINIA REGIONAL JAIL,Salem City,SALEM,VA,d4403
